,AUC
HCC1,0.33
HCC2,0.657
HCC3,0.654
HCC4,0.771
HCC5,
HCC6,0.726
HCC7,
HCC8,0.732
HCC9,0.73
HCC10,0.646
HCC11,0.683
HCC12,0.664
HCC13,0.735
HCC14,
HCC15,
HCC16,
HCC17,
HCC18,0.874
HCC19,
HCC20,
HCC21,
HCC22,
HCC23,0.696
HCC24,
HCC25,
HCC26,
HCC27,
HCC28,0.803
HCC29,
HCC30,0.992
HCC31,
HCC32,
HCC33,
HCC34,0.835
HCC35,0.757
HCC36,0.568
HCC37,0.539
HCC38,0.676
HCC39,
HCC40,
HCC41,0.966
HCC42,0.735
HCC43,
HCC44,
HCC45,0.638
HCC46,0.609
HCC47,0.705
HCC48,0.845
HCC49,
HCC50,
HCC51,
HCC52,
HCC53,
HCC54,
HCC55,
HCC56,0.657
HCC57,0.697
HCC58,
HCC59,
HCC60,
HCC61,
HCC62,0.991
HCC63,0.97
HCC64,
HCC65,
HCC66,0.347
HCC67,
HCC68,0.013
HCC69,0.994
HCC70,
HCC71,
HCC72,
HCC73,
HCC74,0.993
HCC75,0.627
HCC76,
HCC77,
HCC78,
HCC79,
HCC80,
HCC81,
HCC82,
HCC83,
HCC84,
HCC85,
HCC86,
HCC87,0.644
HCC88,0.628
HCC89,0.638
HCC90,0.289
HCC91,
HCC92,
HCC93,
HCC94,
HCC95,
HCC96,1.0
HCC97,0.892
HCC98,
HCC99,
HCC100,
HCC101,
HCC102,0.992
HCC103,
HCC104,
HCC105,
HCC106,
HCC107,
HCC108,
HCC109,
HCC110,0.866
HCC111,0.812
HCC112,0.996
HCC113,0.875
HCC114,0.921
HCC115,0.632
HCC116,
HCC117,
HCC118,0.646
HCC119,
HCC120,0.715
HCC121,0.943
HCC122,0.703
HCC123,
HCC124,
HCC125,0.738
HCC126,
HCC127,0.996
HCC128,
HCC129,
HCC130,0.713
HCC131,0.616
HCC132,0.611
HCC133,
HCC134,
HCC135,0.605
HCC136,
HCC137,
HCC138,0.715
HCC139,0.469
HCC140,
HCC141,
HCC142,0.66
HCC143,
HCC144,
HCC145,0.844
HCC146,0.713
HCC147,
HCC148,
HCC149,0.734
HCC150,0.851
HCC151,0.761
HCC152,
HCC153,0.758
HCC154,0.578
HCC155,
HCC156,0.622
HCC157,
HCC158,0.905
HCC159,
HCC160,-0.0
HCC161,0.995
HCC162,0.623
HCC163,0.682
HCC164,
HCC165,
HCC166,
HCC167,
HCC168,
HCC169,
HCC170,
HCC171,
HCC172,
HCC173,
HCC174,
HCC175,
HCC176,
HCC177,
HCC178,
HCC179,
HCC180,
HCC181,
HCC182,
HCC183,0.733
HCC184,0.669
HCC185,
HCC186,
HCC187,
HCC188,
HCC189,
HCC190,
HCC191,
HCC192,
HCC193,
HCC194,
HCC195,
HCC196,
HCC197,
HCC198,
HCC199,
HCC200,
HCC201,
HCC202,
HCC203,
HCC204,
HCC205,
HCC206,
HCC207,
HCC208,
HCC209,
HCC210,
HCC211,
HCC212,
HCC213,
HCC214,
HCC215,
HCC216,
HCC217,0.692
HCC218,
HCC219,
HCC220,
HCC221,
HCC222,
HCC223,
HCC224,
HCC225,
HCC226,0.569
HCC227,0.541
HCC228,
HCC229,
HCC230,
HCC231,
HCC232,
HCC233,
HCC234,
HCC235,
HCC236,
HCC237,
HCC238,
HCC239,
HCC240,
HCC241,
HCC242,
HCC243,
HCC244,
HCC245,0.013
HCC246,0.994
HCC247,
HCC248,0.886
HCC249,0.984
HCC250,
HCC251,0.872
HCC252,
HCC253,0.803
HCC254,0.798
